Notebook,Time,Model,Num Rows,ROUGE-1,BLEURT,BERTScore F1
20231204_Step_89_Back2BioBart_Tr_30_v3.10,2023-12-05 16:32:38,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.4045447362805369,0.5148467225581407,0.7042844712734222
20231204_Step_89_Back2BioBart_Tr_30_v3.10,2023-12-05 05:22:16,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.4045447362805369,0.5148467225581407,0.7042844712734222
,2023-12-05 05:06:05,20231130_BioBart-Base_10ep_Summ_Loss_0.77,,0.404477066888337,0.5144549084454775,0.4004383832216263
20231204_Step_89_Back2BioBart_Tr_14_v3.00,2023-12-05 04:39:44,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.4045447362805369,0.5148467225581407,0.7042844712734222
20231204_Step_89_Back2BioBart_Tr_20_v3.20,2023-12-05 04:26:17,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.3987809748500043,0.5064734598994256,0.6945578902959824
20231204_Step_89_Back2BioBart_Tr_19_v3.20,2023-12-05 03:50:14,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.3987809748500043,0.5064734598994256,0.6945578902959824
20231204_Step_89_Back2BioBart_Tr_18_v3.20,2023-12-05 03:31:53,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.3987809748500043,0.5064734598994256,0.6945578902959824
20231204_Step_89_Back2BioBart_Tr_16_v3.20,2023-12-05 03:20:29,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.3987809748500043,0.5064734598994256,0.6945578902959824
20231204_Step_89_Back2BioBart_Tr_14_v3.00,2023-12-05 03:12:09,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.4045447362805369,0.5148467225581407,0.7042844712734222
20231204_Step_89_Back2BioBart_Tr_14_v3.00,2023-12-05 03:05:07,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.3837102826216326,0.4993266559392214,0.6854298800230026
20231204_Step_89_Back2BioBart_Tr_12_v3.00,2023-12-05 02:57:39,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.4042221308233441,0.5149362359195947,0.7042357295751571
20231204_Step_89_Back2BioBart_Tr_12_v3.00,2023-12-05 02:51:55,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.404477066888337,0.5144549084454775,0.7042699962854385
20231204_Step_89_Back2BioBart_Tr_05_v2.00,2023-12-05 02:36:38,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.404477066888337,0.5144549084454775,0.7042699962854385
20231204_Step_89_Back2BioBart_Tr_05_v2.00,2023-12-05 02:34:02,20231130_BioBart-Base_10ep_Summ_Loss_0.77,20.0,0.4201830336274428,0.5355459496378898,0.7224473655223846
20231204_Step_89_Back2BioBart_Tr_05_v2.00,2023-12-05 02:22:04,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.404477066888337,0.5144549084454775,0.7042699962854385
20231204_Step_89_Back2BioBart_Tr_05_v2.00,2023-12-05 02:20:18,20231130_BioBart-Base_10ep_Summ_Loss_0.77,20.0,0.4201830336274428,0.5355459496378898,0.7224473655223846
