Notebook,Time,Model,Num Rows,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-L Sum,BERTScore Precision,BERTScore Recall,BERTScore F1,Average BLEURT,Aggregated Score
20231205_Step_89_Back2BioBart_Tr_45_v3.20,2023-12-05 19:40:14,20231130_BioBart-Base_14ep_Summ_0.75,200.0,0.365522096706896,0.1734585821620092,0.3046123251279824,0.3046123251279824,0.7008895605802536,0.6820672005414963,0.685409066081047,0.4877551481127739,0.3868949238864484
20231205_Step_89_Back2BioBart_Tr_43_v3.20,2023-12-05 19:11:36,20231130_BioBart-Base_5ep_Summ_Loss_0.76,200.0,0.3966436022508515,0.1905831517343405,0.3405521679231576,0.3405521679231576,0.7232639133930207,0.6881262838840485,0.6994593411684036,0.5117697178944945,0.4132600248157342
20231205_Step_89_Back2BioBart_Tr_43_v3.20,2023-12-05 19:04:31,20231201_BioBart-Large_14ep_Summ_Loss_0.93,200.0,0.3723252615243512,0.1770333476058527,0.3103254067133668,0.3103254067133668,0.6937306016683579,0.6935342729091645,0.6879582285881043,0.5049349311366677,0.3938170970469516
20231205_Step_89_Back2BioBart_Tr_42_v3.20,2023-12-05 18:52:42,20231201_BioBart-Large_6ep_Summ_Loss_0.73,200.0,0.3723252615243512,0.1770333476058527,0.3103254067133668,0.3103254067133668,0.6937306016683579,0.6935342729091645,0.6879582285881043,0.5049349311366677,0.3938170970469516
20231205_Step_89_Back2BioBart_Tr_41_v3.20,2023-12-05 18:29:04,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.4045447362805369,0.1907491664410548,0.3424705704184084,0.3424705704184084,0.7289184838533401,0.6932983726263047,0.7042844712734222,0.5148467225581407,0.4165610395649952
20231205_Step_89_Back2BioBart_Tr_41_v3.20,2023-12-05 18:27:54,20231130_BioBart-Base_10ep_Summ_Loss_0.77,2.0,0.6446808510638298,0.5163043478260869,0.5808510638297872,0.5808510638297872,0.8678773641586304,0.772041916847229,0.8170683681964874,0.5790621638298035,0.6198029764292969
20231205_Step_89_Back2BioBart_Tr_37_v3.20,2023-12-05 18:11:47,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.4045447362805369,0.1907491664410548,0.3424705704184084,0.3424705704184084,0.7410139173269272,0.7081074982881546,0.7196289986371994,0.5148467225581407,0.4191184607922914
20231205_Step_89_Back2BioBart_Tr_37_v3.20,2023-12-05 18:01:33,20231130_BioBart-Base_10ep_Summ_Loss_0.77,2.0,0.6446808510638298,0.5163043478260869,0.5808510638297872,0.5808510638297872,0.8344887793064117,0.7471839785575867,0.7884159088134766,0.5790621638298035,0.6150275665321284
20231205_Step_89_Back2BioBart_Tr_37_v3.20,2023-12-05 17:58:26,20231130_BioBart-Base_10ep_Summ_Loss_0.77,2.0,0.6446808510638298,0.5163043478260869,0.5808510638297872,0.5808510638297872,0.8257078528404236,0.7238131165504456,0.7713904082775116,0.5790621638298035,0.6121899831094677
20231205_Step_89_Back2BioBart_Tr_37_v3.20,2023-12-05 17:44:50,20231130_BioBart-Base_10ep_Summ_Loss_0.77,2.0,0.6446808510638298,0.5163043478260869,0.5808510638297872,0.5808510638297872,0.8678773641586304,0.772041916847229,0.8170683681964874,0.5790621638298035,0.6198029764292969
20231205_Step_89_Back2BioBart_Tr_37_v3.20,2023-12-05 16:53:16,20231130_BioBart-Base_10ep_Summ_Loss_0.77,2.0,0.6446808510638298,0.5163043478260869,0.5808510638297872,0.5808510638297872,0.8678773641586304,0.772041916847229,0.8170683681964874,0.5790621638298035,0.6198029764292969
20231205_Step_89_Back2BioBart_Tr_35_v3.20,2023-12-05 16:49:50,20231130_BioBart-Base_10ep_Summ_Loss_0.77,2.0,0.6446808510638298,0.5163043478260869,0.5808510638297872,0.5808510638297872,0.8678773641586304,0.772041916847229,0.8170683681964874,0.5790621638298035,0.6198029764292969
20231205_Step_89_Back2BioBart_Tr_35_v3.20,2023-12-05 16:45:09,20231130_BioBart-Base_10ep_Summ_Loss_0.77,2.0,0.6446808510638298,0.5163043478260869,0.5808510638297872,0.5808510638297872,0.8678773641586304,0.772041916847229,0.8170683681964874,0.5790621638298035,0.6198029764292969
20231205_Step_89_Back2BioBart_Tr_34_v3.20,2023-12-05 16:42:03,20231130_BioBart-Base_10ep_Summ_Loss_0.77,2.0,0.6446808510638298,0.5163043478260869,0.5808510638297872,0.5808510638297872,0.8678773641586304,0.772041916847229,0.8170683681964874,0.5790621638298035,0.6198029764292969
20231205_Step_89_Back2BioBart_Tr_33_v3.20,2023-12-05 16:40:03,20231130_BioBart-Base_10ep_Summ_Loss_0.77,2.0,0.6446808510638298,0.5163043478260869,0.5808510638297872,0.5808510638297872,0.8678773641586304,0.772041916847229,0.8170683681964874,0.5790621638298035,0.6198029764292969
20231204_Step_89_Back2BioBart_Tr_30_v3.10,2023-12-05 16:32:38,20231130_BioBart-Base_10ep_Summ_Loss_0.77,200.0,0.4045447362805369,0.1907491664410548,0.3424705704184084,0.3424705704184084,0.7289184838533401,0.6932983726263047,0.7042844712734222,0.5148467225581407,0.4165610395649952
